idindikator;IDTer;nTer;IDVrstaDivljaci;nVrstaDivljaci;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;08;Вук;00;2015;276;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;09;Шакал;00;2015;2938;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;10;Лисица;00;2015;14399;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;11;Дивља мачка;00;2015;471;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;12;Куна белица;00;2015;1489;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;13;Куна златица;00;2015;121;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;14;Јазавац;00;2015;483;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;15;Сиви пух;00;2015;74;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;16;Веверица;00;2015;50;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;17;Ондатра;00;2015;0;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;18;Нутрија;00;2015;2;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;19;Ракунолики пас;00;2015;0;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;20;Мрки твор;00;2015;0;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;21;Фазан;00;2015;127246;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;22;Пољска јаребица;00;2015;31;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;23;Дивља гуска – лисаста;00;2015;734;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;24;Дивља гуска – глоговњ.;00;2015;131;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;25;Лиска црна;00;2015;192;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;26;Барска кокица;00;2015;0;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;27;Дивља патка – глувара;00;2015;13365;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;28;Дивља пловка – риђоглава;00;2015;459;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;29;Д.патка – кржуља;00;2015;2524;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;30;Д.патка - пупчаница;00;2015;73;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
